"Name","Status","RemovedShaderLines","CappedPSHeaders","DisabledTexturedShapes","OriginalBytes","NewBytes"
"md-106444.milk","patched","22","0","3","18404","18175"
"md-112014.milk","patched","80","0","2","9493","6086"
"md-112646.milk","patched","71","0","0","13117","10446"
"md-11513.milk","patched","31","0","0","7186","6270"
"md-116381.milk","patched","55","0","0","8712","7266"
"md-118560.milk","patched","38","0","0","9452","8539"
"md-131571.milk","patched","80","0","2","11628","9151"
"md-25870.milk","patched","15","0","4","9239","8751"
"md-41314.milk","patched","105","0","1","11486","7204"
"md-57752.milk","patched","93","0","0","10410","6802"
"md-59046.milk","patched","121","0","1","19949","16492"
"md-61028.milk","patched","24","0","0","13400","13232"
"md-61896.milk","patched","27","0","3","12236","11589"
"md-65489.milk","patched","38","0","0","7343","6327"
"md-66265.milk","patched","72","0","0","9046","6940"
"md-66728.milk","patched","22","0","3","6214","5829"
"md-68836.milk","patched","32","0","1","23692","23480"
"md-68865.milk","patched","55","0","2","14788","12860"
"md-70267.milk","patched","46","0","2","8911","7388"
"md-70590.milk","patched","96","0","1","14301","11583"
"md-70705.milk","patched","70","0","1","10937","9005"
"md-72236.milk","patched","64","0","0","3501","1701"
"md-72661.milk","patched","40","0","1","6444","5243"
"md-74156.milk","patched","37","0","1","11403","10190"
"md-79316.milk","patched","34","0","1","21246","20758"
"md-81114.milk","patched","38","0","4","17750","16881"
"md-81398.milk","patched","0","0","0","15706","16264"
"md-81881.milk","patched","0","0","2","8090","8376"
"md-82027.milk","patched","30","0","1","11185","10397"
"md-84381.milk","patched","71","0","4","8850","6258"
"md-84811.milk","patched","71","0","1","10818","8453"
"md-85736.milk","patched","59","0","4","14772","13616"
"md-87891.milk","patched","56","0","2","7006","5046"
"md-88033.milk","patched","16","0","0","5734","5372"
"md-8894.milk","patched","64","0","1","10147","7658"
"md-89026.milk","patched","57","0","2","12266","9947"
"md-89729.milk","patched","68","0","2","18052","15594"
"md-90617.milk","patched","48","0","3","10038","8130"
"md-94398.milk","patched","15","0","3","6814","6751"
"md-94878.milk","patched","363","3","1","34726","16586"
"md-95269.milk","patched","364","3","1","35081","16672"
"md-96046.milk","patched","379","3","1","36866","16596"
"md-96204.milk","patched","386","3","1","37109","16599"
"md-96374.milk","patched","379","3","1","36906","16597"
"md-96953.milk","patched","369","3","1","35932","16590"
"md-97384.milk","patched","364","3","1","35289","16843"
"md-97446.milk","patched","362","3","1","35388","16843"
"md-97595.milk","patched","364","3","1","35761","16843"
"md-97797.milk","patched","378","3","1","37568","16934"
"md-97837.milk","patched","336","3","1","35708","17164"
